workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,age_group,class
Self-emp-not-inc,9.0,Divorced,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,15.0,United-States,Young,0
Private,9.0,Never-married,Craft-repair,Own-child,White,Female,0.0,0.0,45.0,United-States,Adult,0
Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2603.0,40.0,United-States,Middle-Aged,0
Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,60.0,Poland,Adult,0
Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,36.0,United-States,Middle-Aged,1
Private,9.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,40.0,United-States,Young,0
Private,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,70.0,United-States,Middle-Aged,0
Private,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Young,0
Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1977.0,50.0,United-States,Middle-Aged,1
Local-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,Adult,1
Self-emp-inc,9.0,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,Young,0
Private,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,Middle-Aged,0
Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,11.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,30.0,United-States,Adult,0
Private,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,9.0,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,Adult,0
State-gov,13.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Adult,0
Private,11.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,60.0,United-States,Adult,0
Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Adult,0
Private,10.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,United-States,Middle-Aged,0
Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,38.0,United-States,Adult,1
Private,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,50.0,United-States,Middle-Aged,1
Private,9.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,38.0,United-States,Middle-Aged,1
Self-emp-inc,7.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,20.0,United-States,Adult,1
Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1740.0,40.0,United-States,Adult,0
Local-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,52.0,United-States,Middle-Aged,1
Private,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,1055.0,0.0,40.0,United-States,Young,0
Private,9.0,Divorced,Adm-clerical,Other-relative,White,Female,0.0,0.0,40.0,United-States,Adult,0
Federal-gov,13.0,Never-married,Protective-serv,Not-in-family,White,Male,0.0,1408.0,50.0,United-States,Adult,0
